label,target,horizon,model,n_train,n_test,n_net_features,mae_base,rmse_base,mae_net,rmse_net,delta_mae,openmeteo_mae,openmeteo_rmse,skill_base,skill_net,delta_mae_mean,delta_mae_lo,delta_mae_hi,p_improves
n=5_band25,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.7752611134142442,1.1761830897277794,-0.09300316924653729,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.08961503813011606,-0.09332480585135108,-0.1754495676173331,-0.021913502097355018,0.0
n=5_band25,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.9090721468445911,1.0994028127389257,0.19578062586508282,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.14904422917131233,0.1961830620641749,0.09818088356171531,0.2889129390585023,1.0
n=5_band25,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.0232004089001128,1.4188791634566011,-0.04193246838287712,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.09823569510795549,-0.044469071032278464,-0.12860254180857933,0.035106388249078004,0.156
n=5_band25,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.3060630873768375,1.4999174940488778,-0.16409031930335027,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.16096068932915597,-0.1645649718944357,-0.27323820908116037,-0.06617167163561793,0.002
n=5_band25,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.23219081714736,1.6053221219004083,-0.23219663465988238,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.24254559642872509,-0.23389367627284705,-0.31726179649264036,-0.15904595029050905,0.0
n=5_band25,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.5599522861956974,0.8074345593240938,-0.22969687898184488,0.0,0.0,,,-0.22734465971613066,-0.3222304673081449,-0.12985133278559155,0.0
n=5_band25,rain_mm_1h,1,xgboost,574,144,47,0.02726502754618802,0.18309997343500692,0.011189905486793982,0.03451463566368023,0.016075122059394036,0.0,0.0,,,0.01621701920596307,-0.0018930429189519297,0.04749794702058554,0.912
n=5_band25,rain_mm_1h,3,linear,574,144,47,0.6241907764114147,0.8135147169197796,0.7527239203180964,0.9837384011262853,-0.1285331439066817,0.0,0.0,,,-0.12714650704312588,-0.22960336292728756,-0.03812244555262952,0.004
n=5_band25,rain_mm_1h,3,xgboost,574,144,47,0.007254199266955968,0.011185314078883,0.010424443724332377,0.016678854610043748,-0.0031702444573764093,0.0,0.0,,,-0.0031435438637640294,-0.0056975980483609115,-0.0007000650738872429,0.008
n=5_band25,rain_mm_1h,24,linear,574,144,47,0.47281708044732984,0.5911886263526834,0.595635778538929,0.83790621708897,-0.12281869809159918,0.0,0.0,,,-0.12191798912617284,-0.23271748993810393,-0.017199670566330153,0.014
n=5_band25,rain_mm_1h,24,xgboost,574,144,47,0.02948898159825654,0.08365699619553392,0.11345031720742958,0.22112039294466163,-0.08396133560917304,0.0,0.0,,,-0.08416747584320487,-0.1137573650635861,-0.06199539326745733,0.0
n=10_band25,temp_c,1,linear,574,144,47,0.6497919003343013,0.8227097481724359,0.5351516403779255,0.7204005910695445,0.11464025995637583,0.9952952437387703,1.2919623444921144,0.36320918974163074,0.44239815181862563,0.1136113827193848,0.05003161967891719,0.17477467447329045,1.0
n=10_band25,temp_c,1,xgboost,574,144,47,0.6822579441677069,1.0442450672937393,0.7076047087025875,1.0867551493867085,-0.025346764534880606,0.9952952437387703,1.2919623444921144,0.19173722690482564,0.15883372760842762,-0.0257880461140096,-0.09700150831327102,0.04017019580088506,0.252
n=10_band25,temp_c,3,linear,574,144,47,1.104852772709674,1.2894734285924276,0.941191168187071,1.1683463753116565,0.16366160452260292,0.9952952437387703,1.2919623444921144,0.0019264616420885394,0.09568078335058039,0.16446798603702323,0.036538155350950265,0.27345455685469716,0.998
n=10_band25,temp_c,3,xgboost,574,144,47,0.9812679405172356,1.3431931954683902,1.0280903493298785,1.4496367162742267,-0.04682240881264288,0.9952952437387703,1.2919623444921144,-0.039653517143655836,-0.12204254439327022,-0.04993715032547846,-0.13775075401851267,0.042966215163189665,0.15
n=10_band25,temp_c,24,linear,574,144,47,1.1419727680734872,1.329113742565594,1.300687341678007,1.4903956765662474,-0.15871457360451968,0.9952952437387703,1.2919623444921144,-0.02875579016049734,-0.15359064675537382,-0.15864564010722337,-0.2736274519042523,-0.046035464044967986,0.004
n=10_band25,temp_c,24,xgboost,574,144,47,0.9999941824874775,1.3242826880706726,1.14065690623348,1.4705361211668253,-0.14066272374600242,0.9952952437387703,1.2919623444921144,-0.025016474912249675,-0.1382190258377154,-0.14278097126214417,-0.21687729787186655,-0.06812341197623469,0.0
n=10_band25,rain_mm_1h,1,linear,574,144,47,0.3302554072138525,0.39652038754939756,0.5822149018253676,0.897690833773896,-0.2519594946115151,0.0,0.0,,,-0.25224388404366094,-0.3824240148735095,-0.13736173571776542,0.0
